date,bank_prime_loan_rate,compensation_employees,cpi_fuels_utilities,cpi_medical,cpi_new_vehicles,cpi_purchasing_power_dollar,cpi_shelter,cpi_urban_clerical,cpi_urban_food,currency_circulation,federal_minimum_wage,m1_money_stock,m2_money_stock,personal_expenditures,personal_income,personal_savings,real_disposable_income,real_estate_loans,total_consumer_credit,unemployment_rate,cpi_all_urban_consumers,cpi_commodities,cpi_fuels_transportation,cpi_private_transportation,cpi_rent_primary,disposable_income_per_cap,housing_starts,monetary_base,total_checkable_deposits
1959-01-01,4.0,252.3,25.2,21.1,52.9,344.8,24.5,342.9,30.0,31.555,1.0,138.9,286.6,306.1,391.8,11.3,2187.2,24.9242,48.9612,5.4,29.01,33.3,26.2,29.9,38.0,1999,1657,50463,110.0
1959-02-01,4.0,253.6,25.3,21.2,52.5,345.1,24.5,343.2,29.8,31.156999999999996,1.0,139.4,287.7,309.6,393.7,10.6,2193.8,25.226999999999997,49.5137,5.4,29.0,33.3,26.2,30.0,38.1,2005,1667,49805,110.5
1959-03-01,4.0,256.1,25.4,21.3,52.5,345.1,24.6,343.2,29.7,31.223000000000003,1.0,139.7,289.2,312.7,396.5,10.3,2206.4,25.4218,50.0077,5.0,28.97,33.2,26.2,30.3,38.1,2015,1620,49733,110.7
1959-04-01,4.0,258.6,25.3,21.3,52.1,344.8,24.6,342.9,29.5,31.3,1.0,139.7,290.1,312.2,399.9,11.2,2220.7,25.7261,50.4634,4.5,28.98,33.2,26.3,30.4,38.2,2029,1590,50058,110.7
1959-05-01,4.23,260.8,25.2,21.4,52.1,344.5,24.7,342.6,29.5,31.480999999999998,1.0,140.7,292.2,316.1,402.4,10.6,2232.8,26.0187,51.0072,4.5,29.04,33.3,26.4,30.4,38.2,2039,1498,50112,111.6
1959-06-01,4.5,262.3,25.2,21.5,51.9,342.7,24.7,340.9,29.7,31.803,1.0,141.2,294.1,318.2,404.8,10.5,2240.2,26.2668,51.6754,4.4,29.11,33.3,26.4,30.5,38.2,2049,1503,50337,111.9
1959-07-01,4.5,262.1,25.3,21.5,51.5,342.1,24.7,340.3,29.6,32.042,1.0,141.7,295.2,317.8,405.4,10.7,2236.7,26.4697,52.3569,4.5,29.15,33.3,26.6,30.6,38.2,2047,1547,50802,112.5
1959-08-01,4.5,260.2,25.3,21.6,51.2,342.4,24.8,340.6,29.6,31.991,1.0,141.9,296.4,320.2,403.7,9.6,2223.5,26.6349,53.0385,4.5,29.18,33.3,26.7,30.6,38.3,2035,1430,50661,112.7
1959-09-01,5.0,260.4,25.5,21.7,50.6,341.2,24.8,339.4,29.7,32.023,1.0,141.0,296.7,324.2,405.1,8.7,2224.4,26.7848,53.6838,4.8,29.25,33.5,26.7,30.6,38.4,2038,1540,50722,111.8
1959-10-01,5.0,261.1,25.5,21.7,53.0,340.0,24.9,338.2,29.7,31.971999999999998,1.0,140.5,296.5,322.8,406.6,9.4,2226.1,26.9735,54.36600000000001,5.0,29.35,33.5,26.8,30.7,38.5,2041,1355,50660,111.3
1959-11-01,5.0,263.2,25.5,21.8,54.2,340.0,25.0,338.2,29.7,32.187,1.0,140.4,297.1,322.9,409.9,10.1,2242.1,27.1343,54.7948,5.2,29.35,33.5,26.8,30.7,38.5,2054,1416,50877,111.3
1959-12-01,5.0,267.4,25.7,21.8,53.8,340.0,25.0,338.2,29.6,32.771,1.0,139.9,297.8,322.9,414.6,11.0,2263.9,27.5059,56.0107,4.6,29.41,33.5,26.9,30.8,38.6,2074,1601,51504,110.8
1960-01-01,5.0,270.1,25.9,21.9,53.0,340.6,25.0,338.8,29.6,32.041,1.0,140.0,298.2,323.6,415.7,10.9,2268.8,27.623,56.0156,4.6,29.37,33.5,26.9,30.7,38.6,2073,1460,50661,110.9
